CUST_FULL_NAME,OUTLET_NUMBER,TERMINAL_ID,TRANSACTION_AMOUNT,CARD_NUMBER,TRANSACTION_DATE
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137362,10033963,"1,000.00",426092XXXXXXX7058,15/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137362,10033963,70,536898XXXXXXX4550,15/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137362,10033963,100,426092XXXXXXX3861,15/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137362,10033963,100,426092XXXXXXX7981,15/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137420,10033965,"1,500.00",461722XXXXXXX0769,15/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137420,10033965,50,406935XXXXXXX0927,15/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137362,10033963,"1,500.00",464145XXXXXXX9431,15/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137420,10033965,50,486757XXXXXXX8935,15/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137362,10033963,900,426094XXXXXXX2395,15/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137362,10033963,200,426092XXXXXXX9500,15/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137420,10033965,300,453190XXXXXXX2747,15/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137362,10033963,100,419398XXXXXXX3303,15/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137420,10033965,200,453188XXXXXXX2158,15/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137420,10033965,150,438375XXXXXXX8346,15/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137420,10033965,250,426092XXXXXXX2507,15/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137362,10033963,100,453188XXXXXXX8874,15/09/2021
